Name,Price,Designs,Material,Color,Warranty,Seater,Armrest,Shape,Brand,Length (Cm),Breadth (Cm),Height (Cm),Ratings,Sold Count
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Blush Collection)",75962,Contemporary,Cotton,Red,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Chestnut Brown)",74989,Contemporary,Velvet,Brown,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Graphite Grey)",74989,Contemporary,Velvet,Grey,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Indigo Blue)",74989,Contemporary,Velvet,Blue,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Dark Olive Green)",74989,Contemporary,Velvet,Green,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Mulberry Pink)",74989,Contemporary,Velvet,Purple,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Advay 3 Seater Living Room Sofa Set
(Twilight Collection)",74889,Modern,Cotton,Red,36,3,0,0,Wooden Street,182.9,66.0,78.7,0,0
"Norvin Fabric Sofa Set
(Velvet, Chestnut Brown)",72989,Chesterfield,Velvet,Brown,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Norvin Fabric Sofa Set
(Velvet, Dark Olive Green)",72989,Chesterfield,Velvet,Green,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Norvin Fabric Sofa Set
(Velvet, Graphite Grey)",72989,Chesterfield,Velvet,Grey,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Norvin Fabric Sofa Set
(Velvet, Indigo Blue)",72989,Chesterfield,Velvet,Blue,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Eldric Fabric Sofa Set
(Velvet, Chestnut Brown)",70987,Contemporary,Velvet,Brown,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Dark Olive Green)",70987,Contemporary,Velvet,Green,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Mulberry Pink)",70987,Contemporary,Velvet,Pink,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Indigo Blue)",70987,Contemporary,Velvet,Blue,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Graphite Grey)",70987,Contemporary,Velvet,Grey,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Chestnut Brown)",68989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Indigo Blue)",68989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Indigo Blue)",68989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Indigo Blue)",68989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Mulberry Pink)",68989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Dark Olive Green)",68989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Mulberry Pink)",68989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Dark Olive Green)",68989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Chestnut Brown)",68989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
